S.No.	Make	Model	Price (Ex-Showroom)	Power (bhp)	Range/Mileage	Fuel Type	Notes
28	Mercedes-Benz	E-Class	₹76.00 Lakh - 89.00 Lakh	194-282 bhp	15.0 kmpl	Petrol/Diesel	Current generation
29	Mercedes-Benz	C-Class	₹61.85 - 69.00 Lakh	201-255 bhp	16.0-23.0 kmpl	Petrol/Diesel	Current generation
30	Mercedes-Benz	S-Class	₹1.77 - 1.86 Crore	362-496 bhp	12.8 kmpl	Petrol	Current generation
31	Mercedes-Benz	GLA	₹51.75 - 58.15 Lakh	161-188 bhp	17.4-18.3 kmpl	Petrol/Diesel	Current generation
32	Mercedes-Benz	GLC	₹75.90 - 85.90 Lakh	201-255 bhp	14.7-19.0 kmpl	Petrol/Diesel	Current generation
33	Mercedes-Benz	GLS	₹1.32 - 1.37 Crore	362-380 bhp	10.0-11.0 kmpl	Petrol/Diesel	Current generation
34	Mercedes-Benz	GLE	₹96.40 Lakh - 1.15 Crore	265-380 bhp	12.0-14.0 kmpl	Diesel	Current generation
35	Mercedes-Benz	CLA	₹36.00 - 40.00 Lakh	134-181 bhp	15.0-17.9 kmpl	Petrol/Diesel	Discontinued, last known data
36	Mercedes-Benz	A-Class Limousine	₹46.05 - 48.35 Lakh	161-188 bhp	17.5-21.3 kmpl	Petrol/Diesel	Current generation
37	Mercedes-Benz	G-Class	₹2.55 - 4.00 Crore	422-585 bhp	8.0-9.0 kmpl	Petrol/Diesel	Current generation
38	Mercedes-Benz	AMG GLC 43 Coupe	₹87.00 Lakh	385 bhp	10.0 kmpl	Petrol	Current generation
39	Mercedes-Benz	V-Class	₹71.10 Lakh - 1.46 Crore	161 bhp	16.0 kmpl	Diesel	Discontinued, last known data
40	Mercedes-Benz	B-Class	₹30.00 - 35.00 Lakh	120-134 bhp	14.8 kmpl	Petrol/Diesel	Discontinued, last known data
41	Mercedes-Benz	M-Class	₹60.00 - 70.00 Lakh	258 bhp	15.0 kmpl	Diesel	Discontinued (replaced by GLE)
42	Mercedes-Benz	W110	N/A	N/A	N/A	Petrol/Diesel	Classic car, no current data
43	Mercedes-Benz	GL-Class	₹77.00 - 80.00 Lakh	258 bhp	12.0 kmpl	Diesel	Discontinued (replaced by GLS)
44	Mercedes-Benz	GLE Coupe	₹89.00 Lakh - 1.00 Crore	333-367 bhp	10.0 kmpl	Petrol/Diesel	Current generation
45	Mercedes-Benz	CLS	₹86.39 Lakh	245 bhp	16.0 kmpl	Diesel	Discontinued, last known data
46	Mercedes-Benz	GLC Coupe	₹72.50 - 73.50 Lakh	258 bhp	12.7 kmpl	Petrol	Current generation
47	Mercedes-Benz	C-Class Cabriolet	₹72.00 Lakh	258 bhp	14.0 kmpl	Petrol	Discontinued, last known data
48	Mercedes-Benz	C-Coupe	N/A	N/A	N/A	N/A	Not officially sold in India as standalone model
49	Mercedes-Benz	Maybach S-Class	₹2.77 - 3.44 Crore	496-603 bhp	9.8 kmpl	Petrol	Current generation
50	Mercedes-Benz	EQB	₹77.50 Lakh	225 bhp	423 km/charge	Electric	Current generation
51	Mercedes-Benz	A-Class	N/A	N/A	N/A	N/A	Replaced by A-Class Limousine in India
52	Mercedes-Benz	SLK-Class	₹60.00 - 70.00 Lakh	184-306 bhp	15.0 kmpl	Petrol	Discontinued (replaced by SLC)
53	Mercedes-Benz	Maybach GLS	₹3.35 - 3.39 Crore	550 bhp	8.0 kmpl	Petrol	Current generation
54	Mercedes-Benz	EQA	₹66.00 Lakh	188 bhp	400-418 km/charge	Electric	Current generation
55	Mercedes-Benz	AMG GLA	₹63.50 Lakh	306 bhp	13.0 kmpl	Petrol	Current generation
56	Mercedes-Benz	EQE SUV	₹1.39 Crore	292 bhp	550 km/charge	Electric	Current generation
57	Mercedes-Benz	E-Class Cabriolet	N/A	N/A	N/A	N/A	Discontinued in India
58	Mercedes-Benz	GLB	₹60.00 - 65.00 Lakh	163-188 bhp	14.0-16.0 kmpl	Petrol/Diesel	Current generation
59	Mercedes-Benz	AMG E53	₹1.06 Crore	429 bhp	11.0 kmpl	Petrol	Current generation
60	Mercedes-Benz	AMG GT 63 S	₹3.30 Crore	630 bhp	12.65 kmpl	Petrol	Current generation (V8 Biturbo)
61	Mercedes-Benz	S-Coupe	N/A	N/A	N/A	N/A	Not officially sold in India as standalone model
62	Mercedes-Benz	AMG A35	₹58.00 Lakh	306 bhp	13.0 kmpl	Petrol	Current generation
63	Mercedes-Benz	SLC	₹80.00 Lakh	245 bhp	14.0 kmpl	Petrol	Discontinued, last known data
64	Mercedes-Benz	190	N/A	N/A	N/A	N/A	Classic car, no current data
65	Mercedes-Benz	EQS	₹1.62 - 1.67 Crore	329-516 bhp	770-857 km/charge	Electric	Current generation
66	Mercedes-Benz	AMG C 43	₹98.25 Lakh	402 bhp	14.0 kmpl	Petrol	Current generation
67	Mercedes-Benz	AMG A45 S	₹87.50 Lakh	421 bhp	12.0 kmpl	Petrol	Current generation
68	Mercedes-Benz	E-Class All-Terrain	₹75.00 Lakh	194 bhp	15.0 kmpl	Diesel	Discontinued, last known data
69	Mercedes-Benz	AMG GLE Coupe	₹1.85 Crore	543 bhp	8.0 kmpl	Petrol	Current generation
70	Mercedes-Benz	EQC	₹99.50 Lakh	402 bhp	450 km/charge	Electric	Discontinued, last known data
71	Mercedes-Benz	R-Class	₹60.00 - 70.00 Lakh	268 bhp	10.0 kmpl	Petrol	Discontinued, last known data
72	Mercedes-Benz	S-Class Cabriolet	₹2.25 - 2.50 Crore	449-603 bhp	10.0 kmpl	Petrol	Discontinued, last known data
73	Mercedes-Benz	SL	N/A	N/A	N/A	N/A	Not officially sold in India as standalone model
74	Mercedes-Benz	Viano	₹50.00 - 60.00 Lakh	204 bhp	12.0 kmpl	Diesel	Discontinued, last known data
75	Mercedes-Benz	CLK	N/A	N/A	N/A	N/A	Classic car, no current data
76	Mercedes-Benz	W123	N/A	N/A	N/A	N/A	Classic car, no current data
77	Mercedes-Benz	MB-Class	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
78	Mercedes-Benz	SDL	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
79	Mercedes-Benz	Maybach SL 680	N/A	N/A	N/A	N/A	Not launched in India
80	Mercedes-Benz	G580 with EQ Technology	₹3.00 Crore (Est.)	~587 bhp (Est.)	~473 km/charge (Est.)	Electric	Expected Launch: Late 2024/Early 2025
81	Mercedes-Benz	CLE Cabriolet	N/A	N/A	N/A	N/A	Not launched in India
82	Mercedes-Benz	EQS SUV	₹1.39 - 1.49 Crore	355-536 bhp	610-660 km/charge	Electric	Current generation
83	Mercedes-Benz	AMG G-Class	₹4.00 Crore	585 bhp	8.0 kmpl	Petrol	Current generation (AMG G 63)
84	Mercedes-Benz	Maybach EQS SUV	₹2.35 Crore (Est.)	658 bhp	600 km/charge	Electric	Expected Launch: Late 2024/Early 2025
85	Mercedes-Benz	AMG SL55 Roadster	N/A	N/A	N/A	N/A	Not officially launched in India
86	Mercedes-Benz	AMG GT 63 S E Performance	₹3.30 Crore	831 bhp	12 km (electric only)	Plug-in Hybrid	Current generation
87	Mercedes-Benz	AMG S 63 E Performance	₹3.30 Crore	794 bhp	33 km (electric only)	Plug-in Hybrid	Current generation
88	Mercedes-Benz	AMG C 63 S E Performance	N/A	N/A	N/A	N/A	Not officially launched in India
Honda							
89	Honda	City	₹12.00 - 16.35 Lakh	119 bhp	17.8-18.4 kmpl	Petrol	Current generation
90	Honda	Amaze	₹7.20 - 9.92 Lakh	89 bhp	18.3-18.6 kmpl	Petrol	Current generation
91	Honda	Brio	₹4.90 - 6.80 Lakh	87 bhp	18.5-20.0 kmpl	Petrol	Discontinued, last known data
92	Honda	Jazz	₹8.00 - 10.30 Lakh	89 bhp	16.6-17.1 kmpl	Petrol	Discontinued, last known data
93	Honda	WR-V	₹9.00 - 12.00 Lakh	89 bhp	16.5-23.7 kmpl	Petrol/Diesel	Discontinued, last known data
94	Honda	Civic	₹18.00 - 22.50 Lakh	140 bhp	16.5-26.8 kmpl	Petrol/Diesel	Discontinued, last known data
95	Honda	CR-V	₹28.00 - 33.00 Lakh	152-187 bhp	14.4 kmpl	Petrol	Discontinued, last known data
96	Honda	Mobilio	₹7.00 - 12.00 Lakh	118-99 bhp	17.3-24.5 kmpl	Petrol/Diesel	Discontinued, last known data
97	Honda	Accord	₹45.00 Lakh	212 bhp	23.1 kmpl	Hybrid (Petrol)	Discontinued, last known data
98	Honda	BR-V	₹9.00 - 13.00 Lakh	118-99 bhp	16.0-21.9 kmpl	Petrol/Diesel	Discontinued, last known data
99	Honda	Elevate	₹11.91 - 16.43 Lakh	119 bhp	15.3-16.9 kmpl	Petrol	Current generation
100	Honda	City Hybrid eHEV	₹19.04 - 20.55 Lakh	124 bhp (combined)	27.1 kmpl	Petrol Hybrid	Current generation
101	Honda	Step	N/A	N/A	N/A	N/A	Not sold in India
102	Honda	Concerto	N/A	N/A	N/A	N/A	Classic car, not sold in India
103	Honda	CRX	N/A	N/A	N/A	N/A	Classic car, not sold in India
Toyota							
104	Toyota	Innova Crysta	₹19.99 - 26.55 Lakh	148 bhp	14.0-15.0 kmpl	Diesel	Current generation
105	Toyota	Fortuner	₹33.43 - 51.44 Lakh	164-201 bhp	10.0-14.0 kmpl	Petrol/Diesel	Current generation
106	Toyota	Corolla Altis	₹16.00 - 20.00 Lakh	138 bhp	16.7 kmpl	Petrol/Diesel	Discontinued, last known data
107	Toyota	Camry	₹46.17 Lakh	176 bhp	23.2 kmpl	Hybrid (Petrol)	Current generation
108	Toyota	Glanza	₹6.86 - 10.00 Lakh	89 bhp	22.3-22.9 kmpl	Petrol	Current generation (rebadged Baleno)
109	Toyota	Etios	₹7.00 - 9.00 Lakh	89-67 bhp	16.7-23.5 kmpl	Petrol/Diesel	Discontinued, last known data
110	Toyota	Yaris	₹9.00 - 14.00 Lakh	106 bhp	17.1-18.0 kmpl	Petrol	Discontinued, last known data
111	Toyota	Etios Liva	₹5.50 - 8.00 Lakh	79-67 bhp	17.7-23.5 kmpl	Petrol/Diesel	Discontinued, last known data
112	Toyota	Urban Cruiser	₹9.00 - 11.73 Lakh	103 bhp	17.0-18.7 kmpl	Petrol	Discontinued (rebadged Vitara Brezza)
113	Toyota	Urban Cruiser Hyryder	₹11.14 - 22.46 Lakh	101-114 bhp	19.4-27.9 kmpl	Petrol/Hybrid/CNG	Current generation
114	Toyota	Land Cruiser	₹2.10 Crore	304 bhp	11.0 kmpl	Diesel	Current generation (LC 300)
115	Toyota	Innova	₹13.00 - 17.00 Lakh	100-137 bhp	11.0-13.0 kmpl	Petrol/Diesel	Discontinued, last known data (original Innova)
116	Toyota	Innova Hycross	₹19.77 - 30.98 Lakh	172-184 bhp	16.1-23.2 kmpl	Petrol/Hybrid	Current generation
117	Toyota	Vellfire	₹1.20 - 1.30 Crore	163 bhp	16.3 kmpl	Hybrid (Petrol)	Current generation
118	Toyota	Rumion	₹10.44 - 13.73 Lakh	87 bhp	20.5-26.1 kmpl	Petrol/CNG	Current generation (rebadged Ertiga)
119	Toyota	Prado	₹90.00 Lakh (Est.)	N/A	N/A	Diesel	Expected launch, no official data
120	Toyota	Commuter	N/A	N/A	N/A	N/A	Not sold as passenger vehicle in India
121	Toyota	Urban Cruiser Taisor	₹7.74 - 13.04 Lakh	89-99 bhp	21.7-22.8 kmpl	Petrol/CNG	Current generation (rebadged Fronx)
122	Toyota	Prius	₹40.00 - 45.00 Lakh	121 bhp	26.2 kmpl	Hybrid (Petrol)	Discontinued, last known data
123	Toyota	Qualis	₹5.00 - 8.00 Lakh	75 bhp	12.0 kmpl	Diesel	Discontinued, last known data
124	Toyota	Corolla	N/A	N/A	N/A	N/A	Discontinued in India, replaced by Altis
125	Toyota	Cresta	N/A	N/A	N/A	N/A	Classic car, not sold in India
126	Toyota	MR2	N/A	N/A	N/A	N/A	Classic car, not sold in India
127	Toyota	Sera	N/A	N/A	N/A	N/A	Classic car, not sold in India
128	Toyota	Celica	N/A	N/A	N/A	N/A	Classic car, not sold in India
129	Toyota	Estima	N/A	N/A	N/A	N/A	Not sold in India
130	Toyota	Corona	N/A	N/A	N/A	N/A	Classic car, not sold in India
131	Toyota	Ventury	N/A	N/A	N/A	N/A	Not sold in India
132	Toyota	Cressida	N/A	N/A	N/A	N/A	Classic car, not sold in India
133	Toyota	Mark	N/A	N/A	N/A	N/A	Not sold in India
134	Toyota	Alphard	N/A	N/A	N/A	N/A	Similar to Vellfire, not sold as Alphard in India
135	Toyota	Crnos	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
136	Toyota	Mejesta	N/A	N/A	N/A	N/A	Not sold in India
137	Toyota	Tercel	N/A	N/A	N/A	N/A	Classic car, not sold in India
138	Toyota	Master Ace	N/A	N/A	N/A	N/A	Not sold in India
139	Toyota	HiAce	N/A	N/A	N/A	N/A	Not sold as passenger vehicle in India
140	Toyota	Tundra	N/A	N/A	N/A	N/A	Not sold in India
141	Toyota	Hilux	₹30.40 - 37.90 Lakh	201 bhp	10.0-12.0 kmpl	Diesel	Current generation
Mahindra							
142	Mahindra	Thar	₹11.35 - 17.60 Lakh	117-150 bhp	15.2 kmpl	Petrol/Diesel	Current generation
143	Mahindra	Scorpio	₹13.62 - 17.42 Lakh	130-138 bhp	15.0 kmpl	Diesel	Scorpio Classic, current generation
144	Mahindra	XUV500	₹12.00 - 20.00 Lakh	153 bhp	15.1 kmpl	Diesel	Discontinued (replaced by XUV700)
145	Mahindra	XUV700	₹13.99 - 26.99 Lakh	153-197 bhp	15.0-17.0 kmpl	Petrol/Diesel	Current generation
146	Mahindra	XUV300	₹7.99 - 14.76 Lakh	108-129 bhp	17.0-20.1 kmpl	Petrol/Diesel	Current generation
147	Mahindra	TUV300	₹8.50 - 10.50 Lakh	100 bhp	18.4 kmpl	Diesel	Discontinued, last known data
148	Mahindra	Bolero	₹9.98 - 10.88 Lakh	75 bhp	16.7 kmpl	Diesel	Current generation
149	Mahindra	Marazzo	₹14.00 - 16.00 Lakh	121 bhp	17.3 kmpl	Diesel	Discontinued, last known data
150	Mahindra	KUV100	₹6.00 - 8.00 Lakh	82-77 bhp	18.1-25.3 kmpl	Petrol/Diesel	Discontinued, last known data
151	Mahindra	Alturas G4	₹30.00 - 32.00 Lakh	178 bhp	12.0 kmpl	Diesel	Discontinued, last known data
152	Mahindra	Nuvosport	₹7.50 - 10.50 Lakh	100 bhp	17.4 kmpl	Diesel	Discontinued, last known data
153	Mahindra	BE 6	₹18.90 - 27.65 Lakh (Est.)	~228-308 bhp (Est.)	~683 km/charge (Est.)	Electric	Upcoming model
154	Mahindra	Xylo	₹9.00 - 12.00 Lakh	118-120 bhp	14.0 kmpl	Diesel	Discontinued, last known data
155	Mahindra	Quanto	₹6.50 - 8.50 Lakh	100 bhp	17.2 kmpl	Diesel	Discontinued, last known data
156	Mahindra	Armada	N/A	N/A	N/A	N/A	Classic car, no current data
157	Mahindra	XUV400	₹15.49 - 19.39 Lakh	147 bhp	375-456 km/charge	Electric	Current generation
158	Mahindra	e2o Plus	₹7.50 - 11.50 Lakh	25-40 bhp	110-140 km/charge	Electric	Discontinued, last known data
159	Mahindra	Verito	₹7.00 - 10.00 Lakh	65-85 bhp	21.0 kmpl	Petrol/Diesel	Discontinued, last known data
160	Mahindra	Marshal	N/A	N/A	N/A	N/A	Classic car, no current data
161	Mahindra	Reva	₹3.50 - 4.50 Lakh	17 bhp	80 km/charge	Electric	Discontinued, last known data (original Reva)
162	Mahindra	Voyager	N/A	N/A	N/A	N/A	Classic car, no current data
163	Mahindra	XEV 9e	₹21.90 - 31.25 Lakh (Est.)	~282 bhp (Est.)	~656 km/charge (Est.)	Electric	Upcoming model
BMW							
164	BMW	5 Series	₹68.90 - 72.90 Lakh	190-252 bhp	14.0-18.0 kmpl	Petrol/Diesel	Current generation
165	BMW	X1	₹49.50 - 52.50 Lakh	134-161 bhp	16.0-20.0 kmpl	Petrol/Diesel	Current generation
166	BMW	3 Series	₹46.90 - 52.90 Lakh	188-255 bhp	13.0-19.0 kmpl	Petrol/Diesel	Current generation
167	BMW	X5	₹98.50 Lakh - 1.15 Crore	262-335 bhp	11.0-13.0 kmpl	Petrol/Diesel	Current generation
168	BMW	6 Series GT	₹79.00 Lakh	258 bhp	13.0 kmpl	Petrol	Current generation
169	BMW	3 Series GT	₹50.00 - 60.00 Lakh	188-252 bhp	15.0-21.0 kmpl	Petrol/Diesel	Discontinued, last known data
170	BMW	X3	₹68.50 - 87.70 Lakh	188-252 bhp	16.0-17.0 kmpl	Petrol/Diesel	Current generation
171	BMW	X7	₹1.30 - 1.35 Crore	335-375 bhp	11.0-12.0 kmpl	Petrol/Diesel	Current generation
172	BMW	7 Series	₹1.70 - 1.80 Crore	375-536 bhp	12.0-13.0 kmpl	Petrol/Diesel	Current generation
173	BMW	3 Series Gran Limousine	₹60.60 - 62.60 Lakh	255 bhp	15.3 kmpl	Petrol	Current generation
174	BMW	Z4	₹90.90 Lakh	335 bhp	12.0 kmpl	Petrol	Current generation
175	BMW	X4	₹71.90 - 73.50 Lakh	188-252 bhp	14.0-16.0 kmpl	Petrol/Diesel	Current generation
176	BMW	iX	₹1.21 Crore	322 bhp	425 km/charge	Electric	Current generation
177	BMW	2 Series Gran Coupe	₹43.90 - 46.90 Lakh	188-190 bhp	14.8-18.6 kmpl	Petrol/Diesel	Current generation
178	BMW	X6	₹1.11 - 1.40 Crore	335 bhp	10.0 kmpl	Petrol	Current generation
179	BMW	XM	₹2.60 Crore	644 bhp	62 km (electric only)	Plug-in Hybrid	Current generation
180	BMW	iX1	₹66.90 Lakh	308 bhp	417-440 km/charge	Electric	Current generation
181	BMW	6-Series	N/A	N/A	N/A	N/A	Replaced by 6 Series GT in India
182	BMW	i7	₹2.03 Crore	536 bhp	591-625 km/charge	Electric	Current generation
183	BMW	i4	₹72.50 - 77.50 Lakh	282-335 bhp	483-590 km/charge	Electric	Current generation
184	BMW	M4	₹1.53 Crore	503 bhp	9.7 kmpl	Petrol	Current generation
185	BMW	X3 M40i	₹87.70 Lakh	355 bhp	10.0 kmpl	Petrol	Current generation
186	BMW	M3	₹1.50 Crore	473-503 bhp	9.7 kmpl	Petrol	Current generation
187	BMW	1 Series	₹30.00 - 35.00 Lakh	136-184 bhp	16.0-20.0 kmpl	Petrol/Diesel	Discontinued, last known data
188	BMW	M6	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
189	BMW	M8	₹2.20 Crore	617 bhp	8.0 kmpl	Petrol	Current generation
190	BMW	M5	₹1.74 Crore	617 bhp	9.0 kmpl	Petrol	Current generation
191	BMW	M2	₹99.90 Lakh	453 bhp	10.0 kmpl	Petrol	Current generation
192	BMW	X3M	₹1.30 Crore	473 bhp	10.0 kmpl	Petrol	Discontinued, last known data
193	BMW	X5M	₹1.95 Crore	617 bhp	8.0 kmpl	Petrol	Current generation
194	BMW	M4 CS	N/A	N/A	N/A	N/A	Special edition, not regularly sold in India
195	BMW	XB	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
196	BMW	i8	₹2.14 Crore	357 bhp	37 km (electric only)	Plug-in Hybrid	Discontinued, last known data
197	BMW	Z3	N/A	N/A	N/A	N/A	Classic car, not sold in India
198	BMW	i5	₹1.20 Crore (Est.)	~335 bhp (Est.)	~500 km/charge (Est.)	Electric	Expected Launch: Late 2024/Early 2025
Tata							
199	Tata	Nexon	₹8.15 - 15.80 Lakh	118-113 bhp	17.0-24.0 kmpl	Petrol/Diesel	Current generation
200	Tata	Tiago	₹5.65 - 8.90 Lakh	84 bhp	20.0-26.0 kmpl	Petrol/CNG	Current generation
201	Tata	Harrier	₹15.49 - 26.44 Lakh	168 bhp	14.6-16.8 kmpl	Diesel	Current generation
202	Tata	Punch	₹6.13 - 10.20 Lakh	86 bhp	18.8-26.9 kmpl	Petrol/CNG	Current generation
203	Tata	Altroz	₹6.65 - 10.99 Lakh	86-108 bhp	18.5-26.2 kmpl	Petrol/Diesel/CNG	Current generation
204	Tata	Safari	₹16.19 - 27.34 Lakh	168 bhp	14.5-16.3 kmpl	Diesel	Current generation
205	Tata	Tigor	₹6.30 - 9.55 Lakh	84 bhp	19.2-26.4 kmpl	Petrol/CNG	Current generation
206	Tata	Nexon EV	₹14.49 - 19.49 Lakh	127-143 bhp	325-465 km/charge	Electric	Current generation (Nexon EV Max/Long Range)
207	Tata	Hexa	₹14.00 - 20.00 Lakh	148-154 bhp	14.4 kmpl	Diesel	Discontinued, last known data
208	Tata	Zest	₹5.80 - 9.00 Lakh	89-74 bhp	17.6-23.0 kmpl	Petrol/Diesel	Discontinued, last known data
209	Tata	Tiago EV	₹7.99 - 11.89 Lakh	60-74 bhp	250-315 km/charge	Electric	Current generation
210	Tata	Tiago NRG	₹6.70 - 8.80 Lakh	84 bhp	20.0-26.0 kmpl	Petrol/CNG	Current generation
211	Tata	Curvv ICE	₹10.00 - 15.00 Lakh (Est.)	~120-150 bhp (Est.)	~18-20 kmpl (Est.)	Petrol/Diesel	Expected Launch: Mid-2025
212	Tata	Bolt	₹5.50 - 8.00 Lakh	89-74 bhp	17.6-22.9 kmpl	Petrol/Diesel	Discontinued, last known data
213	Tata	Manza	₹6.00 - 8.50 Lakh	89-88 bhp	16.1-21.2 kmpl	Petrol/Diesel	Discontinued, last known data
214	Tata	Punch EV	₹10.99 - 15.49 Lakh	80-120 bhp	315-421 km/charge	Electric	Current generation
215	Tata	Tigor EV	₹12.49 - 13.75 Lakh	74 bhp	315 km/charge	Electric	Current generation
216	Tata	Sumo	₹6.00 - 8.00 Lakh	84 bhp	14.0 kmpl	Diesel	Discontinued, last known data
217	Tata	Nano	₹2.50 - 3.50 Lakh	37 bhp	23.6 kmpl	Petrol	Discontinued, last known data
218	Tata	Indica	₹3.00 - 5.00 Lakh	60-70 bhp	17.0-25.0 kmpl	Petrol/Diesel	Discontinued, last known data
219	Tata	Indigo	₹5.00 - 7.00 Lakh	60-70 bhp	18.0-25.0 kmpl	Petrol/Diesel	Discontinued, last known data
220	Tata	Aria	₹12.00 - 16.00 Lakh	138-148 bhp	15.0 kmpl	Diesel	Discontinued, last known data
221	Tata	Telcoline	N/A	N/A	N/A	N/A	Old pickup truck, no current data
222	Tata	Xenon	₹8.00 - 10.00 Lakh	140 bhp	13.0 kmpl	Diesel	Discontinued, last known data
223	Tata	Venture	₹5.00 - 6.00 Lakh	70 bhp	15.0 kmpl	Diesel	Discontinued, last known data
224	Tata	Winger	₹10.00 - 15.00 Lakh	90 bhp	12.0 kmpl	Diesel	Commercial/Passenger Van
225	Tata	Tiago JTP	₹6.60 Lakh	112 bhp	23.8 kmpl	Petrol	Discontinued, last known data
226	Tata	Indica Vista	₹5.00 - 7.00 Lakh	74-89 bhp	19.0-22.3 kmpl	Petrol/Diesel	Discontinued, last known data
227	Tata	Tigor JTP	₹7.50 Lakh	112 bhp	21.0 kmpl	Petrol	Discontinued, last known data
228	Tata	Grande	N/A	N/A	N/A	N/A	Discontinued, last known data
229	Tata	Sierra	N/A	N/A	N/A	N/A	Classic car, no current data
230	Tata	Estate	N/A	N/A	N/A	N/A	Classic car, no current data
231	Tata	Curvv EV	₹17.49 - 22.24 Lakh (Est.)	~138 bhp (Est.)	~500 km/charge (Est.)	Electric	Expected Launch: Late 2024
232	Tata	Harrier EV	₹21.49 - 30.23 Lakh (Est.)	235-390 bhp (Est.)	538-627 km/charge (Est.)	Electric	Expected Launch: Mid-2025
233	Tata	Safari EV	₹25.00 - 30.00 Lakh (Est.)	~250-300 bhp (Est.)	~500 km/charge (Est.)	Electric	Expected Launch: Late 2025
Ford							
234	Ford	EcoSport	₹8.00 - 11.50 Lakh	99-121 bhp	14.8-21.7 kmpl	Petrol/Diesel	Discontinued in India
235	Ford	Endeavour	₹30.00 - 35.00 Lakh	168-210 bhp	12.9-14.0 kmpl	Diesel	Discontinued in India
236	Ford	Figo	₹5.50 - 8.00 Lakh	95-99 bhp	18.5-24.4 kmpl	Petrol/Diesel	Discontinued in India
237	Ford	Aspire	₹6.00 - 9.00 Lakh	95-99 bhp	18.5-24.4 kmpl	Petrol/Diesel	Discontinued in India
238	Ford	Mustang	₹74.62 Lakh	396 bhp	7.9 kmpl	Petrol	Discontinued in India
